,proto,service,id.resp_p,missed_bytes,version,cipher,curve,resumed,established,sni_matches_cert,secure_label
408,tcp,,27017,0,1,1,1,1,1,1,1
409,tcp,,9092,0,1,1,1,1,1,1,1
410,udp,dns,53,0,1,1,1,1,1,1,0
411,udp,dns,53,0,1,1,1,1,1,1,0
412,udp,dns,53,0,1,1,1,1,1,1,0
413,udp,dns,53,0,1,1,1,1,1,1,0
414,udp,dns,53,0,1,1,1,1,1,1,0
415,udp,dns,53,0,1,1,1,1,1,1,0
416,udp,dns,53,0,1,1,1,1,1,1,0
417,tcp,,443,0,1,1,1,1,1,1,1
418,udp,dns,53,0,1,1,1,1,1,1,0
419,udp,dns,53,0,1,1,1,1,1,1,0
420,udp,dns,53,0,1,1,1,1,1,1,0
421,tcp,ssl,443,0,1,1,1,1,1,1,1
422,,,443,,0,1,1,1,1,1,0
423,udp,dns,5353,0,1,1,1,1,1,1,1
424,udp,dns,53,0,1,1,1,1,1,1,0
425,udp,dns,53,0,1,1,1,1,1,1,0
426,udp,dns,53,0,1,1,1,1,1,1,0
427,udp,quic,443,0,1,1,1,1,1,1,1
428,,,443,,1,1,1,1,1,1,1
429,tcp,,34984,0,1,1,1,1,1,1,1
430,tcp,,50912,0,1,1,1,1,1,1,1
431,tcp,,50872,0,1,1,1,1,1,1,1
432,tcp,,50960,0,1,1,1,1,1,1,1
433,udp,dns,53,0,1,1,1,1,1,1,0
434,udp,dns,53,0,1,1,1,1,1,1,0
435,udp,dns,53,0,1,1,1,1,1,1,0
436,udp,quic,443,0,1,1,1,1,1,1,1
437,,,443,,1,1,1,1,1,1,1
438,udp,dns,53,0,1,1,1,1,1,1,0
439,tcp,ssl,443,0,1,1,1,1,1,1,1
440,,,443,,0,1,1,1,1,1,0
441,tcp,,36276,0,1,1,1,1,1,1,1
442,udp,dns,53,0,1,1,1,1,1,1,0
443,udp,dns,53,0,1,1,1,1,1,1,0
444,udp,dns,53,0,1,1,1,1,1,1,0
445,udp,dns,53,0,1,1,1,1,1,1,0
446,tcp,,42773,0,1,1,1,1,1,1,1
447,udp,dns,53,0,1,1,1,1,1,1,0
448,udp,quic,443,0,1,1,1,1,1,1,1
449,tcp,,9997,0,1,1,1,1,1,1,1
450,tcp,,9997,0,1,1,1,1,1,1,1
451,icmp,,134,0,1,1,1,1,1,1,1
452,tcp,,58768,0,1,1,1,1,1,1,1
453,tcp,,45903,0,1,1,1,1,1,1,1
454,icmp,,134,0,1,1,1,1,1,1,1
455,udp,dns,53,0,1,1,1,1,1,1,0
456,tcp,,9092,0,1,1,1,1,1,1,1
457,tcp,,9092,0,1,1,1,1,1,1,1
458,udp,dns,5353,0,1,1,1,1,1,1,1
459,udp,dns,5353,0,1,1,1,1,1,1,1
460,tcp,,34984,0,1,1,1,1,1,1,1
